Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
Governor DAO,Protocols,GDAO,Ethereum,-0.83%,+4.49%,-0.45%,"$7,843,746",7843746,2021-04-30 23:59:00.921556
Oxygen,Lending,OXY,Solana,+2.80%,+17.30%,-0.21%,"$7,289,845",7289845,2021-04-30 23:59:00.921556
Hakka Finance,Yield,HAKKA,Ethereum,+1.25%,+15.10%,-0.50%,"$7,273,896",7273896,2021-04-30 23:59:00.921556
Cover Protocol,Insurance,COVER,Ethereum,-0.08%,-32.58%,< 0.0001%,"$6,754,552",6754552,2021-04-30 23:59:00.921556
Growth DeFi,Yield,GRO,Ethereum,+4.60%,+3.26%,0%,"$6,062,201",6062201,2021-04-30 23:59:00.921556
Yam Finance,Protocols,YAM,Ethereum,+7.91%,-8.90%,-0.12%,"$5,562,313",5562313,2021-04-30 23:59:00.921556
DEXTF Protocol,Protocols,DEXTF,Ethereum,+7.63%,+44.54%,-0.46%,"$5,447,585",5447585,2021-04-30 23:59:00.921556
Auctus,Options,AUC,Ethereum,+12.24%,-1.99%,+0.02%,"$4,969,050",4969050,2021-04-30 23:59:00.921556
Siren,Options,SI,Ethereum,-8.53%,+2.97%,-0.42%,"$4,924,304",4924304,2021-04-30 23:59:00.921556
Dev Protocol,Protocols,DEV,Ethereum,+0.04%,+11.37%,-0.19%,"$4,618,590",4618590,2021-04-30 23:59:00.921556
zLot,Staking,zLot,Ethereum,-2.14%,+26.66%,-0.20%,"$4,252,994",4252994,2021-04-30 23:59:00.921556
SnowSwap,Dexes,SNOW,Ethereum,+3.02%,+3.28%,-0.28%,"$4,170,335",4170335,2021-04-30 23:59:00.921556
Stafi,Staking,FIS,Ethereum,+1.54%,+17.21%,-0.24%,"$4,133,331",4133331,2021-04-30 23:59:00.921556
Olive Cash,Yield,OLIVE,Multi-Chain,+39.24%,+40.69%,+0.82%,"$3,985,908",3985908,2021-04-30 23:59:00.921556
XDeFi,Dexes,XDEX,Ethereum,-2.08%,-29.57%,0%,"$3,849,916",3849916,2021-04-30 23:59:00.921556
CreamSwap,Dexes,CREAM,Ethereum,-3.05%,+23.97%,-0.56%,"$3,728,622",3728622,2021-04-30 23:59:00.921556
N3RD Finance,Yield,N3RDz,Ethereum,+0.54%,-23.58%,-0.34%,"$3,369,158",3369158,2021-04-30 23:59:00.921556
BT.Finance,Yield,BT,Ethereum,+3.18%,+10.84%,-0.16%,"$3,109,148",3109148,2021-04-30 23:59:00.921556
Swapr,Dexes,-0,Multi-Chain,+4.05%,+14.03%,+0.53%,"$3,031,248",3031248,2021-04-30 23:59:00.921556
Opium,Insurance,OPIUM,Ethereum,-0.01%,-0.02%,-0.01%,"$2,780,117",2780117,2021-04-30 23:59:00.921556
Lydia,Dexes,-0,Avalanche,+23.54%,-59.22%,-0.11%,"$2,013,045",2013045,2021-04-30 23:59:00.921556
MCDEX,Dexes,MCB,Ethereum,+0.95%,+16.67%,-0.39%,"$1,973,081",1973081,2021-04-30 23:59:00.921556
Connext,Protocols,-0,Ethereum,-4.11%,-15.35%,-0.14%,"$1,543,762",1543762,2021-04-30 23:59:00.921556
Dracula,Yield,DRC,Ethereum,-42.08%,-24.64%,-1.93%,"$1,326,656",1326656,2021-04-30 23:59:00.921556
Strudel Finance,Assets,TRDL,Ethereum,+7.27%,+13.31%,-0.13%,"$1,300,956",1300956,2021-04-30 23:59:00.921556
QIAN,Assets,KUN,Ethereum,-42.75%,-37.29%,-0.00%,"$1,082,196",1082196,2021-04-30 23:59:00.921556
Jarvis Network,Protocols,JRT,Ethereum,-4.63%,-4.67%,+0.02%,"$1,013,699",1013699,2021-04-30 23:59:00.921556
YetiSwap,Dexes,YTS,Avalanche,+3.66%,+33.53%,-0.03%,"$866,358",866358,2021-04-30 23:59:00.921556
S Finance,Dexes,SFG,Ethereum,+0.02%,-0.03%,-0.00%,"$810,939",810939,2021-04-30 23:59:00.921556
Levinswap,Dexes,LEVIN,xDai,+9.34%,-0,-0.55%,"$773,895",773895,2021-04-30 23:59:00.921556
Primitive,Options,-0,Ethereum,+1.69%,+14.44%,-0.46%,"$769,498",769498,2021-04-30 23:59:00.921556
YFII,Dexes,YFII,Ethereum,+0.56%,+9.28%,-0.05%,"$652,658",652658,2021-04-30 23:59:00.921556
PEAKDEFI,Yield,PEAK,Ethereum,-10.65%,-15.60%,-0.00%,"$526,848",526848,2021-04-30 23:59:00.921556
DeFiner,Yield,FIN,Ethereum,+24.77%,+105%,+4.35%,"$460,041",460041,2021-04-30 23:59:00.921556
Basis Cash,Assets,BAC,Ethereum,0%,"$403,782",0%,"$403,782",403782,2021-04-30 23:59:00.921556
UniTrade,Dexes,TRADE,Ethereum,+0.79%,-5.36%,-0.12%,"$279,611",279611,2021-04-30 23:59:00.921556
CoFiX,Dexes,COFI,Ethereum,+3.90%,+8.70%,-0.36%,"$265,856",265856,2021-04-30 23:59:00.921556
Shell Protocol,Dexes,-0,Ethereum,-2.20%,"$114,679",0%,"$114,679",114679,2021-04-30 23:59:00.921556
SynLev,Protocols,SYN,Ethereum,+1.25%,+17.04%,-0.55%,"$100,676",100676,2021-04-30 23:59:00.921556
Augur,Dexes,REP,Ethereum,0%,"$75,013",0%,"$75,013",75013,2021-04-30 23:59:00.921556
 Robo-Advisor fo...,Yield,-0,Ethereum,+0.58%,+4.84%,+0.01%,"$45,836",45836,2021-04-30 23:59:00.921556
Prosper,Dexes,PROS,Multi-Chain,-5.42%,-35.12%,+1.67%,"$4,172",4172,2021-04-30 23:59:00.921556
